id,policy_type,accident_type,claim_severity_level,vehicle_category,area_type,vehicle_damage_score,accident_impact_score,repair_risk_index,injury_severity_prob,overall_claim_risk,agent_name,policy_number,claim_date,random_noise,claim_description,claim_amount
10001,A,Theft,Medium,Sedan,Urban,0.636,0.598,0.616,0.35,0.514,Neha,PN27401,2022-01-01,0.167,Moderate theft causing body and light damage,36017
10002,C,Collision,Medium,Sedan,Urban,0.861,1.0,0.994,0.184,0.644,Kunal,PN25428,2022-01-02,0.049,Moderate collision causing body and light damage,74032
10003,B,Collision,Medium,Sedan,Urban,0.717,0.025,0.425,0.59,0.55,Neha,PN74372,2022-01-03,0.396,Moderate collision causing body and light damage,38491
10004,B,Collision,Medium,Sedan,Urban,0.518,0.721,0.565,0.208,0.413,Suresh,PN21971,2022-01-04,0.854,Moderate collision causing body and light damage,42784
10005,A,Collision,Medium,SUV,Urban,0.651,0.521,0.553,0.391,0.508,Suresh,PN98018,2022-01-05,0.755,Moderate collision causing body and light damage,40923
10006,A,Theft,Medium,SUV,Urban,0.552,0.692,0.67,0.236,0.473,Suresh,PN95504,2022-01-06,0.517,Moderate theft causing body and light damage,34469
10007,A,Theft,Low,Sedan,Rural,0.602,0.386,0.358,0.043,0.281,Ramesh,PN26565,2022-01-07,0.572,Minor theft with small damage,21155
10008,C,Collision,Medium,Sedan,Urban,0.535,0.538,0.529,0.292,0.435,Priya,PN16829,2022-01-08,0.13,Moderate collision causing body and light damage,48898
10009,B,Collision,Medium,Truck,Rural,0.567,0.728,0.576,0.668,0.611,Anjali,PN86023,2022-01-09,0.841,Moderate collision causing body and light damage,46923
10010,B,Fire,Medium,SUV,Rural,0.642,1.0,0.797,0.418,0.615,Neha,PN45435,2022-01-10,0.787,Moderate fire causing body and light damage,66503
10011,A,Collision,Low,SUV,Urban,0.401,0.752,0.562,0.111,0.349,Priya,PN91823,2022-01-11,0.656,Minor collision with small damage,38484
10012,C,Collision,Medium,Sedan,Urban,0.397,0.338,0.349,0.521,0.428,Kunal,PN48941,2022-01-12,0.466,Moderate collision causing body and light damage,39602
10013,C,Collision,Medium,SUV,Urban,0.322,0.444,0.356,0.643,0.464,Neha,PN52459,2022-01-13,0.964,Moderate collision causing body and light damage,40899
10014,A,Theft,Low,Sedan,Rural,0.28,0.437,0.303,0.266,0.284,Neha,PN57976,2022-01-14,0.879,Minor theft with small damage,20880
10015,A,Theft,Low,SUV,Urban,0.357,0.101,0.343,0.089,0.244,Rahul,PN89199,2022-01-15,0.644,Minor theft with small damage,18761
10016,A,Collision,Medium,Truck,Urban,0.632,0.467,0.643,0.3,0.504,Neha,PN19176,2022-01-16,0.372,Moderate collision causing body and light damage,39478
